District,Nitrogen Value,Phosphorous value,Potassium value,pH
Valsad,33.971,76.592,64.667,7.0004
Vadodara,32.981,58.877,54.884,7.0033
Vadodara,40.412,59.357,42.407,7.0201
Vadodara,27.404,67.422,78.848,7.0066
Vadodara,21.065,64.484,65.015,7
Vadodara,24.101,55.4,75.902,7.0027
Vadodara,24.491,58.073,48.847,7.0159
Vadodara,20.231,70.949,77.924,7.0495
Vadodara,20.018,73.235,22.91,7.0204
Uttara Kannada,25.016,62,49.082,6.8794
Uttara Kannada,22.703,51.652,61.304,6.8262
Uttara Kannada,31.85,64.15,35.934,6.7663
Uttara Kannada,26.948,45.629,36.437,6.6352
Uttara Kannada,24.691,57.596,29.332,6.6469
Uttara Kannada,29.342,40.44,36.597,6.7491
Uttara Kannada,21.92,68.231,32.09,6.9722
Uttara Kannada,24.839,47.942,26.39,6.7988
Uttara Kannada,22.25,53.693,70.914,6.9717
Uttara Kannada,20,21.902,43.268,7
Uttara Kannada,21.512,60.4,61.475,6.994
Uttara Kannada,31.52,63.092,53.687,6.9254
Udupi,35.375,69.048,44.12,6.1547
Udupi,28.643,50.826,48.068,6.1257
Udupi,40.022,61.847,51.611,6.0503
Udupi,33.05,56.564,50.615,6.0776
Udupi,34.897,72.325,36.404,6.1659
Udupi,29.198,58.914,48.014,6.342
Udupi,20,38,26,6.2
Tuticorn,20,52.928,79.671,7.5757
Tuticorn,20,56.16,76.781,7.2478
Tuticorn,20,64.679,79.775,7
Tuticorn,20.027,47.765,76.349,7.0068
Tuticorn,20,45.386,79.562,7.2421
Tuticorn,20,49.643,78.728,7.3585
Tuticorn,20,58.953,76.073,7.2534
Tuticorn,20,70.988,63.405,6.9894
Tuticorn,20,51.035,77.651,7.4527
Tuticorn,20,46.535,79.97,8.0905
Tuticorn,20,69.641,34.301,7.2268
Tuticorn,20,60.461,36.242,6.865
Tumakuru,26.768,62.628,55.454,6.9944
Tumakuru,28.523,74.273,61.984,6.9996
Tumakuru,27.656,66.908,54.866,6.9802
Tumakuru,23.066,71.666,57.707,6.9685
Tumakuru,26.513,66.605,54.494,6.9929
Tumakuru,23.978,69.17,56.897,6.9948
Tumakuru,24.02,67.337,51.143,6.9692
Tumakuru,24.434,64.856,57.416,6.9959
Tumakuru,22.526,71.837,56.564,7.0033
Tumakuru,27.797,64.982,57.848,6.9985
Tiruvannamalai,22.662,47.741,57.332,7.0109
Tiruvannamalai,20.195,50.052,39.404,7.1505
Tiruvannamalai,20.06,54.497,36.009,7.107
Tiruvannamalai,20.147,56.114,46.313,7.0144
Tiruvannamalai,20,55.712,41.276,7.1971
Tiruvannamalai,20,64.751,38.963,6.9976
Tiruvannamalai,20.054,63.662,44.33,6.9973
Tiruvannamalai,20.06,60.204,43.391,7.005
Tiruvannamalai,20.699,58.676,48.056,7.0073
Tiruvannamalai,20,63.985,35.91,6.9005
Tiruvannamalai,20.198,45.305,51.972,7.0048
Tiruvannamalai,20.276,52.124,49.298,7.0091
Tiruvannamalai,20.057,50.117,50.945,6.9923
Tiruvannamalai,20.03,60.267,48.977,7.0583
Tiruvannamalai,20.703,53.237,43.358,7.0055
Tiruvannamalai,20.03,62.534,33.291,7.0084
Tiruvannamalai,22.352,57.856,55.94,7.0021
Tiruvannamalai,20.141,48.38,42.63,7.0132
Tiruppur,20,48.508,79.784,9.031
Tiruppur,20.054,48.923,79.301,7.5691
Tiruppur,20.054,48.854,79.478,7.5104
Tiruppur,20.102,47.622,79.697,8.936
Tiruppur,20.114,42.92,78.563,7.2085
Tiruppur,20.072,43.433,77.846,7.2751
Tiruppur,20.122,48.767,79.123,7.2136
Tiruppur,20,40.473,79.13,7.2361
Tiruppur,20,47.682,79.049,7.2517
Tiruppur,20.144,42.518,78.929,7.3501
Tiruppur,20,43.196,78.113,7.2835
Tiruppur,20.084,41.924,79.128,7.2613
Tiruppur,20.048,43.298,78.455,7.2457
Tirupathur,20.135,62.801,58.43,7.2594
Tirupathur,20.07,66.027,51.243,7.22
Tirupathur,20.06,64.907,61.571,7.0412
Tirupathur,20.063,66.557,58.134,7.3403
Tirupathur,20.273,62.054,59.315,7.0446
Tirupathur,20.027,58.276,59.258,7.0362
Tirunelveli,24.95,67.256,58.958,7.3679
Tirunelveli,21.683,55.931,65.303,7.228
Tirunelveli,22.889,57.098,64.745,7.3743
Tirunelveli,22.158,70.859,33.464,6.6084
Tirunelveli,27.671,60.16,64.943,6.9324
Tirunelveli,20.421,29.435,50.005,7.0171
Tirunelveli,20.414,48.576,69.35,7.6907
Tirunelveli,21.05,72.137,66.662,7.3959
Tirunelveli,20.168,45.098,53.339,6.9986
Tiruchippalli,20,41.342,73.886,7.2193
Tiruchippalli,20,73.483,64.716,7.2908
Tiruchippalli,20,46.76,71.264,7.0186
Tiruchippalli,20,77.756,78.878,7.0243
Tiruchippalli,20,37.97,69.026,7.0774
Tiruchippalli,20,74.346,76.265,7.3237
Tiruchippalli,20,75.341,68.813,7.0011
Tiruchippalli,20,38.231,65.462,7.1605
Tiruchippalli,22.778,60.833,65.213,7
Tiruchippalli,20,65.717,68.41,7.0873
Tiruchippalli,20,54.698,70.181,6.9818
Tiruchippalli,20.039,46.454,71.585,7.1212
Tiruchippalli,20,52.357,67.995,7.6088
Tiruchippalli,20,49.298,66.425,6.9849
Thiruvarur,20.015,72.926,57.662,6.9995
Thiruvarur,20,76.949,77.375,7.0009
Thiruvarur,20,54.434,44.488,7
Thiruvarur,20.033,65.433,70.586,7.0066
Thiruvarur,20.372,64.554,68.483,7.0027
Thiruvarur,20,51.957,32.591,7
Thiruvarur,20,77.64,79.889,7.0018
Thiruvarur,20,50.84,31.28,7
Thiruvarur,20,70.667,79.808,7.1356
Thiruvarur,20,68.818,72.239,7.2322
Thiruvallur,20,57.539,28.596,6.8487
Thiruvallur,20.018,66.44,46.979,6.873
Thiruvallur,20.076,64.853,40.343,6.9228
Thiruvallur,20.054,55.221,40.033,7.0715
Thiruvallur,20,71.96,31.175,6.3399
Thiruvallur,20.138,58.918,38.525,7.0067
Thiruvallur,20.246,65.251,37.214,6.9672
Thiruvallur,20.209,67.364,42.5,6.776
Thiruvallur,20.033,63.902,42.017,6.78
Thiruvallur,20,54.293,39.581,6.9703
Thiruvallur,20.036,48.677,31.607,6.7276
Thiruvallur,20.048,70.993,31.196,6.8326
Thiruvallur,20.09,44.793,43.151,7.1331
Thiruvallur,20,80,50,7
Theni,20.144,52.403,74.32,6.9964
Theni,20.201,61.636,74.168,7.0141
Theni,20.144,63.782,70.955,6.8969
Theni,20.393,66.353,75.197,7.2346
Theni,20.114,61.635,68.474,7.0368
Theni,20.272,50.049,75.416,7.547
Theni,20.182,53.222,72.734,7.1822
Theni,20,66.575,77.519,7.15
The Nilgiris,29.36,79.748,75.824,6.8357
The Nilgiris,36.02,79.433,78.302,6.6826
The Nilgiris,20.576,77.981,46.826,6.375
The Nilgiris,23.636,78.812,52.371,6.7172
Thanjavur,20,58.706,59.42,7.0444
Thanjavur,20.048,45.221,36.65,7.0123
Thanjavur,20.03,58.256,46.227,6.9675
Thanjavur,20.267,41.189,53.951,7.0342
Thanjavur,20,62.67,50.108,7.0042
Thanjavur,20,59.096,74.152,6.9315
Thanjavur,20.072,31.475,52.052,7.0574
Thanjavur,20,33.893,52.445,7.0375
Thanjavur,20,31.571,28.565,7.0423
Thanjavur,20.444,40.082,34.016,7.4776
Thanjavur,21.173,39.944,68.968,7.0024
Thanjavur,21.269,40.067,50.164,7.0069
Thanjavur,20,49.9,69.751,7
Thanjavur,20.441,59.852,69.674,6.9924
Tenkasi,20,78.677,79.661,7.2118
Tenkasi,20,77.344,79.037,7.0361
Tenkasi,20,71.354,74.387,7.0744
Tenkasi,20,78.212,77.138,7
Tenkasi,20,75.445,77.12,7.0294
Tenkasi,20,73.703,76.088,7.0132
Tenkasi,20,77.861,78.969,7.2992
Tenkasi,20.108,74.357,79.316,7.1368
Tenkasi,20,76.019,60.875,6.9091
Tenkasi,20,76.664,59.888,6.8477
Tapi,27.404,73.961,72.105,7
Tapi,30.155,74.864,77.882,7.0231
Tapi,20.99,75.056,67.931,7.0069
Tapi,23.807,75.911,71.294,7.0072
Tapi,24.335,77.213,68.404,7.0009
Tapi,21.269,75.602,68.504,7.0024
Tapi,27.707,76.016,70.961,7.0081
Surendranagar,28.148,71.873,72.335,7.0201
Surendranagar,23.081,69.844,64.733,7
Surendranagar,29.366,75.356,79.445,7
Surendranagar,29.369,73.721,79.901,7.0198
Surendranagar,37.442,73.064,70.061,7.0654
Surendranagar,48.227,67.406,59.762,7.0291
Surendranagar,22.43,72.332,63.625,7.0024
Surendranagar,29.376,74.405,71.378,7.0018
Surendranagar,31.1,75.713,79.913,7
Surendranagar,29.405,73.067,67.592,7
Surat,20,64.592,62.873,7.2232
Surat,22.247,75.644,62.645,7.0048
Surat,20,64.559,59.605,7.0303
Surat,25.7,76.781,72.374,7.0012
Surat,27.167,77.285,65.131,7
Surat,26.621,77.135,68.387,6.9958
Surat,20.648,76.418,60.017,7
Surat,20.057,76.832,62.472,7
Surat,20.06,77.153,67.802,7
Sivaganga,20,54.254,69.236,6.8636
Sivaganga,20.792,54.515,63.332,6.9334
Sivaganga,20,32.132,57.878,7.025
Sivaganga,20,49.188,71.3,6.9569
Sivaganga,20,50.378,66.983,7.2988
Sivaganga,20,49,69.446,7.0595
Sivaganga,20,43.669,70.797,7.4764
Sivaganga,20.336,49.778,65.027,6.9433
Sivaganga,20,69.479,62.181,7.0646
Sivaganga,20,53.852,63.701,6.9473
Sivaganga,20.387,60.233,63.707,7.0046
Sivaganga,20,43.943,68.255,7.4462
Shivamogga,25.058,62.407,70.432,6.9992
Shivamogga,32.744,42.711,56.618,6.7084
Shivamogga,27.095,66.338,69.623,6.981
Shivamogga,25.039,43.31,60.491,6.9363
Shivamogga,26.936,70.331,63.35,6.8855
Shivamogga,30.701,59.585,57.361,6.7389
Shivamogga,24.834,54.179,53.264,6.5611
Salem,20.03,50.771,62.522,7.1581
Salem,20,42,63.527,7.0357
Salem,20.177,45.261,65.304,7.0753
Salem,20.039,46.268,55.991,7.2946
Salem,20,43.667,70.209,7.015
Salem,20,43.758,64.338,7.1029
Salem,20.09,42.956,69.344,7.2214
Salem,20,43.886,65.456,7.3162
Salem,20.234,47.233,64.043,7.3144
Salem,21.329,50.522,74.447,6.9905
Salem,20.069,44.138,69.518,7.9447
Salem,20.119,44.108,65.399,7.3609
Salem,20.063,54.629,64.205,7
Salem,20.147,52.703,65.422,7.3093
Salem,20,46.781,71.384,7.3996
Salem,20.171,49.598,64.142,7.1184
Salem,20,37.637,67.568,7.0339
Salem,20.078,49.922,67.478,7.087
Salem,20.033,47.758,73.419,7.3171
Salem,20.153,39.173,65.684,7.1116
Sabar Kantha,20,76.811,58.926,7.0192
Sabar Kantha,20,74.582,66.057,7
Sabar Kantha,20.144,76.394,63.698,7.027
Sabar Kantha,20.234,77.382,65,7.1443
Sabar Kantha,20.03,76.628,63.389,7.0595
Sabar Kantha,20.072,77.174,66.281,7.0243
Sabar Kantha,20.183,77.939,65.144,7.0333
Sabar Kantha,20.114,76.088,65.384,7.0405
Ranipet,20,63.491,42.488,7.0027
Ranipet,20.066,65.511,41.979,7.2724
Ranipet,20.102,63.353,40.076,7.1177
Ranipet,20,63.344,42.932,7.2106
Ranipet,20,64.568,43.202,7.3562
Ranipet,20.021,63.035,42.827,7.0547
Ranipet,20.06,63.848,43.553,7.013
Ramangara,45.26,69.848,49.475,6.9894
Ramangara,42.5,69.101,43.775,6.6773
Ramangara,44.975,66.282,45.928,6.9442
Ramangara,42.629,77.159,46.73,6.9502
Ramangara,46.43,67.502,50.36,6.9881
Ramanathapuram,20.144,53.677,79.292,7.0128
Ramanathapuram,20.078,49.658,79.124,6.9828
Ramanathapuram,20.048,66.208,72.503,6.7791
Ramanathapuram,20.054,52.703,71.209,6.9926
Ramanathapuram,20.039,47.749,79.591,7.0039
Ramanathapuram,20,63.44,57.133,6.8695
Ramanathapuram,20.15,53.822,75.917,6.9776
Ramanathapuram,20.054,58.196,70.382,6.8554
Ramanathapuram,20,54.42,78.425,6.9995
Ramanathapuram,20.056,51.636,78.392,6.9945
Ramanathapuram,20.108,54.806,79.892,6.9964
Rajkot,24.644,78.524,78.047,7.0405
Rajkot,26.267,78.749,75.281,7.066
Rajkot,20.094,79.952,74.927,7.0297
Rajkot,20.525,79.715,73.118,7.0405
Rajkot,20.501,79.919,74.18,7.0153
Rajkot,21.455,79.943,73.686,7.0075
Rajkot,35.205,76.133,73.562,6.6165
Rajkot,20.654,79.931,72.782,7.0114
Rajkot,20.981,79.97,71.683,7.0072
Rajkot,35.351,78.005,71.912,6.6157
Rajkot,20.315,80,71.639,6.9954
Raichur,20.047,50.684,48.266,6.9886
Raichur,20,44.679,47.89,7.0186
Raichur,20,51.107,49.235,7.0516
Raichur,20.126,49.382,48.236,7.0999
Raichur,20.126,49.784,47.264,7.1169
Raichur,20,51.02,47.654,7.0784
Raichur,20.063,51.642,48.587,7.0245
Pudukkottai,20.03,49.781,57.374,7.0093
Pudukkottai,20.048,48.905,50.606,6.9992
Pudukkottai,20.042,48.143,55.094,6.9947
Pudukkottai,20.15,50.882,46.521,7
Pudukkottai,20.108,49.5,56.91,7
Pudukkottai,20.072,50.885,54.665,7.0144
Pudukkottai,20.096,47.195,54.659,7.0091
Pudukkottai,20,43.265,49.917,7.1711
Pudukkottai,20,47.38,56.213,7
Pudukkottai,20.099,51.35,49.223,7
Pudukkottai,20.126,58.403,50.793,6.9989
Pudukkottai,20.114,51.104,55,6.9991
Pudukkottai,20.129,53.465,49.61,6.9862
Porbandar,33.089,76.777,80,7.0045
Porbandar,21.563,57.424,75.563,7
Porbandar,21.719,36.392,80,7
Perambalur,20,42.903,64.442,7.2042
Perambalur,20.042,34.586,64.394,7.1251
Perambalur,20.042,37.028,62.336,7.222
Perambalur,20,43.046,66.131,7.1703
Patan,20,72.112,78.272,7
Patan,20,71.44,77.579,7
Patan,20.114,73.343,72.755,7
Patan,20.156,64.839,76.199,7.0021
Patan,20.237,65.716,79.406,7.003
Patan,20.042,65.563,77.168,7.0021
Patan,20,58.91,78.872,7
Patan,20.048,65.072,79.829,7
Patan,20.024,69.017,78.491,7
Panch Mahals,32.738,48.089,45.806,7.009
Panch Mahals,29.306,62.312,62.295,7.0047
Panch Mahals,32.822,66.096,61.05,7.0024
Panch Mahals,36.986,70.722,64.8,7
Panch Mahals,39.065,67.962,72.749,7
Panch Mahals,34.67,58.134,57.848,7
Panch Mahals,32.195,73.52,65.321,7
Navsari,27.623,80,76.841,7
Navsari,35.072,80,77.225,7
Navsari,35.195,79.871,73.505,7
Navsari,33.191,80,78.5,7
Navsari,26.018,79.958,71.408,7
Navsari,30.659,79.952,78.323,7
Narmada,35.05,62.153,64.409,7.0024
Narmada,34.349,78.278,71.363,7
Narmada,34.586,78.329,70.854,7.0078
Narmada,33.242,72.86,69.992,7
Narmada,22.949,24.323,36.947,6.9819
Namakkal,20,72.011,76.319,7.0117
Namakkal,20.066,52.769,72.911,8.2309
Namakkal,20.097,61.769,78.392,7.0033
Namakkal,20.033,58.854,74.498,7.019
Namakkal,20.039,50.501,65.735,8.5774
Namakkal,20.045,56.246,70.607,8.1816
Namakkal,20.078,57.392,76.466,7.0386
Namakkal,21.875,50.162,73.838,6.4057
Namakkal,20.183,53.72,70.256,8.7753
Namakkal,20.06,47.567,72.554,8.4515
Namakkal,20,59.999,75.282,7.1155
Namakkal,20.039,62.279,71.06,8.0107
Namakkal,20,65.885,78.11,7.0039
Namakkal,20.09,59.798,75.587,7.0045
Namakkal,20.033,58.739,79.001,7.0207
Nagapattinam,20.024,65.203,59.927,7.0076
Nagapattinam,20.178,70.754,57.563,7.033
Nagapattinam,20.191,66.266,57.374,7.0008
Nagapattinam,20.09,56.084,51.446,6.9985
Nagapattinam,20.099,54.455,53.444,7.0335
Nagapattinam,20.061,70.199,57.83,7.0097
Mysuru,20.213,66.746,56.643,6.8528
Mysuru,20.117,74.666,59.157,6.7448
Mysuru,20.09,64.034,58.922,6.9946
Mysuru,20.474,74.98,55.427,6.8807
Mysuru,20,76.019,61.273,6.8783
Mysuru,20.096,74.354,50.575,6.8929
Mysuru,20.501,75.86,58.131,6.8955
Mysuru,20.06,76.279,75.287,6.9665
Mysuru,20,75.467,59.071,6.9919
Morbi,35.459,77.762,62.624,7.2112
Morbi,29.702,77.552,64.4,7.2277
Morbi,38.432,78.23,64.535,7
Morbi,37.175,79.22,63.116,7
Morbi,38.468,77.312,63.095,7
Mayiladuthurai,20,57.965,57.947,7.0078
Mayiladuthurai,20,68.105,54.417,7.0723
Mayiladuthurai,21.863,49.343,63.035,7.0024
Mayiladuthurai,20.018,68.642,51.182,7.0018
Mayiladuthurai,20.09,53.606,69.152,7
Mandya,24.485,70.734,54.68,6.8984
Mandya,28.091,70.742,57.338,6.9406
Mandya,21.983,72.947,60.794,7.0969
Mandya,20.116,58.25,47.6,6.8919
Mandya,23.786,70.862,52.844,6.8743
Mandya,34.061,70.319,56.897,6.8472
Mandya,26.093,74.027,61.988,7.0755
Mahisagar,23.654,51.785,70.136,7
Mahisagar,20,72.643,75.623,7
Mahisagar,25.172,73.241,69.116,7
Mahisagar,21.356,50.719,75.215,7
Mahisagar,22.319,49.823,78.425,7
Mahisagar,22.367,50,77.984,6.9994
Mahesana,20.039,68.855,48.326,8.1142
Mahesana,20.279,57.846,56.627,7.1619
Mahesana,20.162,52.409,58.988,7.0006
Mahesana,20.108,68.735,50.841,8.56
Mahesana,20.174,43.371,53.208,6.995
Mahesana,20.45,55.112,36.422,7.085
Mahesana,20.036,69.989,49.535,7.2151
Mahesana,21.437,64.751,54.65,7.0008
Mahesana,22.418,58.193,43.241,7.0424
Mahesana,21.257,66.218,54.059,7.0771
Madurai,20.03,36.581,75.725,6.9505
Madurai,20,55.874,60.779,6.9952
Madurai,20.06,74.555,72.899,7.1125
Madurai,20.114,46.07,70.229,7.0229
Madurai,20.126,61.754,66.207,6.9991
Madurai,20.036,67.589,63.128,7.0024
Madurai,20,68.414,67.799,7.0101
Madurai,20,62.342,68.291,7.0116
Madurai,20.066,52.762,61.784,7.1606
Madurai,20.083,55.132,67.572,7.0042
Madurai,20.108,52.277,62.468,7.1859
Madurai,20.096,56.624,71.621,7.2619
Madurai,20.084,53.407,67.238,7.0021
Krishnagiri,20.027,59.189,53.589,7.1212
Krishnagiri,20,64.748,56.474,7.0502
Krishnagiri,20,65.12,40.466,6.8743
Krishnagiri,20.03,34.535,51.671,7.0846
Krishnagiri,20,39.128,54.609,7.0648
Krishnagiri,20.027,63.203,45.863,6.9659
Krishnagiri,20.03,36.122,46.273,6.992
Krishnagiri,20,56.555,51.305,7.3588
Krishnagiri,20,60.359,53.321,6.9784
Krishnagiri,20.018,58.599,41.048,6.9799
Koppal,50.25,75.282,75.262,7.0006
Koppal,66.959,78.413,67.655,7.309
Koppal,63.716,79.364,70.46,7.0524
Koppal,49.644,77.069,55.875,7.0749
Koppal,49.306,78.941,55.421,7.0192
Koppal,57.326,78.323,62.81,6.9894
Koppal,58.562,76.781,70.322,7.0686
Kolar,22.061,57.247,41.192,6.8766
Kolar,22.013,73.949,51.447,6.8447
Kolar,22.085,73.272,48.209,6.9091
Kolar,22.124,73.568,43.644,6.9319
Kolar,22.841,66.185,48.201,6.985
Kolar,22.307,73.324,46.614,6.9686
Kodagu,51.899,64.367,60.989,6.9991
Kodagu,49.948,64.424,60.146,6.9977
Kodagu,47.675,63.729,59.921,6.9753
Kodagu,51.03,64.311,58.17,6.9967
Kodagu,48.872,63.18,59.735,6.9969
Kheda,20.753,73.907,67.757,7.0912
Kheda,20.399,73.613,66.83,7.153
Kheda,20.183,74.858,70.172,7.0672
Kheda,20.201,73.217,69.368,7.1314
Kheda,20.312,75.752,66.791,7.0858
Kheda,22.889,69.752,68.969,7.0075
Kheda,20.027,77.678,69.623,7.033
Kheda,20.15,74.693,68.819,7.2433
Kheda,20.132,76.112,65.975,7.3474
Kheda,20,76.121,68.36,7.2661
Karur,20,34.745,68.6,6.9805
Karur,20,51.458,68.567,7.4909
Karur,20,43.934,70.277,7.5594
Karur,20.108,49.598,56.057,7.121
Karur,20,47.684,75.371,7.6031
Karur,20,48.972,60.908,7.3413
Karur,20.06,44.024,66.074,7.1074
Karur,20.087,62.218,70.268,7.0587
Kanniyakumari,20,71.78,46.16,6.8612
Kanniyakumari,20,79.613,48.644,6.4951
Kanniyakumari,20.303,70.805,61.757,6.8485
Kanniyakumari,20.615,68.688,42.767,6.6382
Kanniyakumari,20.363,77.999,66.365,6.9149
Kanniyakumari,20,80,49.819,6.2143
Kanniyakumari,20.192,79.421,41.87,6.9088
Kanniyakumari,21.941,75.26,64.175,6.5908
Kanniyakumari,20.057,75.833,30.998,6.913
Kanchipuram,20.372,49.046,53.093,7.0072
Kanchipuram,20.099,53.655,52.139,6.9659
Kanchipuram,20.018,57.638,62.411,6.9414
Kanchipuram,20.03,44.591,57.34,7.0168
Kanchipuram,20.033,54.979,56.48,7.0085
Kallakurichi,20.061,57.97,69.029,7.0103
Kallakurichi,20,62.867,69.245,6.9964
Kallakurichi,20,58.248,66.939,7.0966
Kallakurichi,20,67.001,65.201,6.8233
Kallakurichi,20,58.64,67.252,7.0071
Kallakurichi,20.102,58.112,67.922,7.0173
Kallakurichi,20.021,59.258,67.238,7.0914
Kallakurichi,20.021,56.56,67.845,7.0984
Kallakurichi,20.03,57.636,73.508,6.988
Kalaburagi,28.547,79.781,79.973,7.0006
Kalaburagi,25.16,79.535,79.892,7
Kalaburagi,24.98,76.202,79.934,7.0007
Kalaburagi,25.754,79.871,79.868,7
Kalaburagi,24.857,79.209,79.793,7.0001
Kalaburagi,26.714,79.733,80,7
Kalaburagi,25.163,78.458,79.92,7.0009
Kalaburagi,24.236,79.871,79.927,6.9991
Kalaburagi,24.8,74.555,79.376,7.041
Kalaburagi,24.11,80,80,7
Kalaburagi,25.415,79.85,79.898,7
Kachchh,28.874,71.126,69.641,7.3579
Kachchh,23.909,66.586,65.21,7.068
Kachchh,20,65.552,73.166,7
Kachchh,21.428,42.68,76.787,7
Kachchh,20.384,59.36,77.596,7
Kachchh,20,48.593,69.617,7
Kachchh,30.437,73.29,78.71,8.1796
Kachchh,27.209,60.681,74.618,7.4622
Kachchh,24.308,74.432,69.371,7.6375
Kachchh,39.166,59.005,69.445,7.0691
Junagadh,21.008,77.761,65.613,7
Junagadh,20.843,70.211,78.784,7.0027
Junagadh,25.052,75.728,70.137,7.0045
Junagadh,21.353,74.192,63.368,7
Junagadh,20.516,74.333,63.26,6.9984
Junagadh,20.357,73.082,62.849,7
Junagadh,22.535,70.001,78.965,7
Junagadh,28.184,62.676,69.353,7
Junagadh,20.213,75.014,65.351,7.0048
Jamnagar,33.743,74.31,58.874,7.0666
Jamnagar,31.638,72.869,57.608,7.0119
Jamnagar,33.859,69.355,61.112,7.036
Jamnagar,38.312,72.593,57.546,7.0936
Jamnagar,34.4,72.005,60.614,7.4635
Jamnagar,33.54,69.753,59.424,7.1509
Haveri,35.774,50.552,48.761,7.0128
Haveri,40.628,48.191,59.633,7.6346
Haveri,39.26,50.294,51.383,6.9505
Haveri,47.336,53.63,56.459,7.0067
Haveri,27.611,49.289,52.122,7.0454
Haveri,49.313,51.542,55.934,7.0365
Haveri,42.674,48.332,50.1,7.0065
Haveri,45.287,52.973,53.225,6.9731
Hassan,55.345,77.759,61.445,6.991
Hassan,64.085,79.892,62.687,6.7204
Hassan,62.165,77.819,57.908,6.9073
Hassan,50.604,76.809,56.151,6.9972
Hassan,53.405,77.24,56.366,6.9864
Hassan,54.749,77.45,54.426,6.9969
Hassan,53.009,77.255,55.982,6.9884
Hassan,53.124,78.5,58.199,6.9921
Gir Somnath,38.447,50.87,41.483,7.1695
Gir Somnath,44.588,51.379,45.182,7.0042
Gir Somnath,33.656,49.163,43.94,7.0057
Gir Somnath,46.324,52.503,44.132,7.0045
Gir Somnath,29.267,48.641,43.172,7.0018
Gir Somnath,26.651,47.792,46.499,7
Gandhinagar,20.384,79.448,75.931,7.0315
Gandhinagar,20.084,79.733,77.918,7.0183
Gandhinagar,20.063,79.586,78.657,7.0633
Gandhinagar,20.933,79.496,73.571,7
Gadag,48.479,53,59.849,6.9993
Gadag,49.268,52.646,59.114,7.0045
Gadag,49.976,53.486,65.477,7.0078
Gadag,48.401,51.631,66.473,7.0008
Gadag,49.688,52.139,68.591,6.9992
Gadag,49.995,53.297,64.889,6.9999
Gadag,49.985,53.879,58.517,7.0015
Erode,20.192,46.595,78.815,7.1089
Erode,20,47.147,79.313,7.0291
Erode,20.372,41.45,74.441,7.0456
Erode,20.126,40.265,72.884,7.0417
Erode,20.33,43.637,69.503,7.0063
Erode,20.084,41.219,72.713,7.0468
Erode,20,38.09,70.049,7.3568
Erode,20.09,47.468,79.052,7.222
